Product Name,Generic,Therapeutic Class,Composition,Description,Indications,Dosage,Presentations
Afdol,Memantine HCl,All Other Anti Alzheimer Products,"Afdol oral solution contains memantine HCl in a strength equivalent to 2 mg of memantine HCl in each mL (5 mL =10 mg).
Each Afdol tablet contains 10 mg of memantine hydrochloride.",Afdol (Memantine hydrochloride) is an orally active N-methyl-D-aspartate (NMDA) receptor antagonist,Afdol tablet is indicated for the treatment of moderate to severe dementia of the Alzheimer’s type.,"Oral Solution:

The recommended starting dose of AFDOL is 5 mg (2.5 mL) once daily. The recommended target dose is 20 mg/day. The dose should be increased in 5 mg increments to 10 mg/day (2.5 mL twice daily), 15 mg/day (2.5 mL and 5 mL as separate doses), and 20 mg/day (5 mL twice daily). The minimum recommended interval between dose increases is one week.
Tablet:

The recommended starting dose of Afdol is 5 mg once daily. The recommended target dose is 20 mg/day. The dose should be increased in 5 mg increments to 10 mg/day (5 mg twice a day), 15 mg/day (5 mg and 10 mg as separate doses), and 20 mg/day (10 mg twice a day).","Afdol Tab 10 mg is available in blister pack of 14’s and 56’s.
Afdol 2 mg/ml Oral Solution is in bottle of 120 ml.
 "
Nebcin,Tobramycin Sulphate,Aminoglycosides,"Nebcin 10 mg:
Each ampoule contains 10 mg of tobramycin sulphate in 1 ml solution.
Nebcin 20 mg:
Each ampoule contains 20 mg of tobramycin sulphate in 1 ml solution.
Nebcin 80 mg:
Each ampoule contains 80 mg of tobramycin sulphate in 2 ml solution.","Tobramycin sulfate, a
water-soluble antibiotic of the aminoglycoside group, is derived from the
actinomycete Streptomyces tenebrarius. Nebcin injection is a clear and
colorless sterile aqueous solution for parenteral administration","Septicemia
Lower respiratory tract infections
Serious central-nervous-system infections
Intra-abdominal infections
Skin, bone, and skin structure infections
Complicated and recurrent urinary tract infections","Neonates:
0-7 days: 2 mg/kg every 12 hours,
More than 7 days: 2 mg/kg every 8 hours
Children:
6-7.5 mg/kg/day in 3-4 divided doses
Adult:
3-5 mg/kg/day in 3-4 divided doses","10 mg/1 ml inj,
20 mg/1 ml inj,
80 mg/2 ml inj,"
Exotan,"Amlodipine , Valsartan",Angiotensin II antagonist & Calcium Channel Blocker Combination,"Exotan Tablets 5 mg / 80 mg:
Each tablet contains Amlodipine 5 mg & Valsartan 80 mg
Exotan Tablets 5 mg / 160 mg:
Each tablet contains Amlodipine 5 mg & Valsartan n 160 mg
Exotan Tablets 10 mg / 160 mg:
Each tablet contains Amlodipine 10 mg & Valsartan 160 mg",Exotan is a fixed dose combination of amlodipine (calcium channel blocker) and valsartan (an angiotensin receptor blocker).,Exotan is indicated for the treatment of hypertension.,Usually Exotan tablet is given once daily. The dosage can be increased after 1 to 2 weeks of therapy to a maximum of 10/320 mg daily as needed to control blood pressure. The majority of the antihypertensive effect is attained within 2 weeks after initiation of therapy or a change in dose. Exotan may be administered with or without food. Exotan may be administered with other antihypertensive agents.,"Exotan Tab 5 mg/80 mg is available in pack of 14’s
Exotan Tab 5 mg/160 mg is available in pack of 14’s
Exotan Tab 10 mg/160 mg is available in pack of 14’s
 "
AG-Cetam,Levetiracetam,Anti Epileptics,"Each AG-Cetam tablet contains 250 mg or 500 mg of levetiracetam.
AG-Cetam solution contains 100 mg of levetiracetam per mL.
AG-Cetam Inj contains 500 mg of levetiracetam per 5 ml.",AG-Cetam (Levetiracetam) is an anti-epileptic drug (anticonvulsant) often used in conjunction with other drugs to treat types of seizures in people with epilepsy.,"Partial Onset Seizures
Indicated as adjunctive therapy in the treatment of partial onset seizures in adults and children 1 month of age and older with epilepsy.
Myoclonic Seizures in Patients with Juvenile Myoclonic Epilepsy
Indicated as adjunctive therapy in the treatment of myoclonic seizures in adults and adolescents 12 years of age and older with juvenile myoclonic epilepsy.
Primary Generalized Tonic-Clonic Seizures
Indicated as adjunctive therapy in the treatment of primary generalized tonic-clonic seizures in adults and children 6 years of age and older with idiopathic generalized epilepsy.","Dosing For Partial Onset Seizures
Adults 16 Years and Older:
Initiate treatment with a daily dose of 1000 mg/day, given as twice-daily dosing (500 mg twice daily). Additional dosing increments may be given (1000 mg/day additional every 2 weeks) to a maximum recommended daily dose of 3000 mg. There is no evidence that doses greater than 3000 mg/day confer additional benefit.
Pediatric Patients:
One month to < 6 months: Initiate treatment with a daily dose of 14 mg/kg in 2 divided doses (7 mg/kg twice daily). Increase the daily dose every 2 weeks by increments of 14 mg/kg to the recommended daily dose of 42 mg/kg (21 mg/kg twice daily).
6 months to < 4 years: Initiate treatment with a daily dose of 20 mg/kg in 2 divided doses (10 mg/kg twice daily). Increase the daily dose in 2 weeks by an increment of 20 mg/kg to the recommended daily dose of 50 mg/kg (25 mg/kg twice daily). If a patient cannot tolerate a daily dose of 50 mg/kg, the daily dose may be reduced.
4 years to < 16 years: Initiate treatment with a daily dose of 20 mg/kg in 2 divided doses (10 mg/kg twice daily). Increase the daily dose every 2 weeks by increments of 20 mg/kg to the recommended daily dose of 60 mg/kg (30 mg/kg twice daily). If a patient cannot tolerate a daily dose of 60 mg/kg, the daily dose may be reduced.
Pediatric patients weighing 20 to 40 kg: Initiate treatment with a daily dose of 500 mg given as twice daily dosing (250 mg twice daily). Increase the daily dose every 2 weeks by increments of 500 mg to a maximum recommended daily dose of 1500 mg (750 mg twice daily).
Pediatric patients weighing more than 40 kg: Initiate treatment with a daily dose of 1000 mg/day given as twice daily dosing (500 mg twice daily). Increase the daily dose every 2 weeks by increments of 1000 mg/day to a maximum recommended daily dose of 3000 mg (1500 mg twice daily).
Weight-Based Dosing Calculation for Oral Solution in Pediatric Patients
The following calculation should be used to determine the appropriate daily dose of oral solution for pediatric patients:
Total daily dose (mL/day) = Daily dose (mg/kg/day) x patient weight (kg) / 100 mg/mL
Dosing for Myoclonic Seizures in Patients 12 Years of Age and Older with Juvenile Myoclonic Epilepsy
Initiate treatment with a dose of 1000 mg/day, given as twice-daily dosing (500 mg twice daily). Increase the dosage by 1000 mg/day every 2 weeks to the recommended daily dose of 3000 mg. The effectiveness of doses lower than 3000 mg/day has not been studied.
Dosing for Primary Generalized Tonic-Clonic Seizures
Adults 16 Years and Older:
Initiate treatment with a dose of 1000 mg/day, given as twice-daily dosing (500 mg twice daily). Increase dosage by 1000 mg/day every 2 weeks to the recommended daily dose of 3000 mg. The effectiveness of doses lower than 3000 mg/day has not been adequately studied.
Pediatric Patients ages 6 to < 16 years
Initiate treatment with a daily dose of 20 mg/kg in 2 divided doses (10 mg/kg twice daily). Increase the daily dose every 2 weeks by increments of 20 mg/kg to the recommended daily dose of 60 mg/kg (30 mg/kg twice daily). The effectiveness of doses lower than 60 mg/kg/day has not been adequately studied.
Patients with body weight ≤ 20 kg: Prescribe oral solution.
Patients with body weight above 20 kg: Prescribe tablets or oral solution.","AG-Cetam Tab 250 mg & 500 mg are available in blister the packs of 10’s.
AG-Cetam Sol 100 mg/ml is available in a bottle of 60 ml.
AG-Cetam Inj 500 mg/5ml is available in the pack of 1’s.
 "
Febuxin,,,,,,,
Zerifax,Rifaximin,Anti-Infective Antidiarrheal,Each Zerifax tablet contains 200 mg or 550 mg of rifaximin,"Zerifax tablet contain rifaximin, a non-aminoglycoside semi-synthetic, nonsystemic antibiotic derived from rifamycin. Rifaximin is a structural analog of rifampin",N/A,"Dosage for Travelers’ Diarrhea:
The recommended dose of ZERIFAX is one 200 mg tablet taken orally three times a day for 3 days. ZERIFAX can be administered orally, with or without food.
Dosage for Irritable Bowel Syndrome with Diarrhea: The recommended dose of ZERIFAX is one 550 mg tablet taken orally three times a day for 14 days. Patients who experience a recurrence of symptoms can be retreated up to two times with the same dosage regimen.
Dosage for Hepatic Encephalopathy:
The recommended dose of Zerifax is one 550 mg tablet taken orally two times a day, with or without food.","Zerifax Tab 200 mg is available in pack of 10’s.
Zerifax Tab 550 mg is available in pack of 10’s.
   "
Chymoral Forte,"Trypsin, Chymotrypsin",Anti-inflammatory enzyme,"Each enteric-coated tablet of
Chymoral Fort contains trypsin and chymo-trypsin in ratio of approximately
6 to 1 and provides enzyme activity equivalent to 100,000 units.","Chymoral Forte contains
proteolytic anti-inflammatory enzymes, which is used to resolve
inflammation, reduce oedema and hasten healing of wound. The pain produced
by inflammation is reduced as the inflammation subsides.After trauma and
muscle and soft tissue injury Chymoral Forte reduces the recovery time and
reduces pain early in the healing phase.","Pelvic inflammatory diseases
Sprains
Fractures
Accidental injuries",1 Tablet 3 times daily.,"Tabs 20’s
  Click Here to view mechanism of Action"
Protege,"Lactobacillus acidophilus,
Lactobacillus rhamnosus, Bifidobacterium lactis, Bifidobacterium bifidum,
Galactooligosaccharide",Antidiarrheal Microorganisms,"Each 2 g Sachet of Protégé is a blend of 4 different strains with 10 billion COLONY FORMING UNITS of human gut flora like friendly bacteria include:
Lactobacillus acidophilus 
Lactobacillus rhamnosus
Bifidobacterium lactis
Bifidobacterium bifidum
A PREBIOTIC Galactooligosaccharide (GOS) 
Lactobacillus acidophilus","Protégé is Probiotic preparation. Probiotics are live microorganisms which when administered in adequate amounts, they confer a health benefit on the host. Popular probiotic strains include the Lactobacillus spp., Bifidobacterium spp. and coccus spp.","Acute & Chronic Infectious Diarrhea
Traveler’s Diarrhea
Antibiotic associated Diarrhea
Inflammatory Bowel Disease (IBS)
Lactose Intolerance","Children & Adult: Take 1‐2
sachets per time, dissolving into water with temperature not more than 40℃.","2 g Sachet 10’s,
 "
Maxna,Tranexamic acid,Antifibrinolytic,"Each capsule of Maxna contains 500 mg tranexamic acid.
Each 5 ml ampoule of Maxna contains 500 mg or 1gm of of tranexamic acid.","Maxna contains tranexamic acid,
an antifibrinolytic agent, used to treat or prevent haemorrhage in a
variety of bleeding disorders.","Dysfunctional uterine bleeding (DUB)
Menorrhagia
Ante- & post-partum hemorrhages","Capsules:
The usual adult dose of capsule is 500 mg three or four times daily depending on the severity of the condition.
  Injection:
For patients unable to take oral medication, Maxna injection can be administered in a dose of 10 mg/kg bodyweight 3 to 4 times daily.","500 mg caps 20’s,
500 mg Inj 10’s,
1 gm Inj 10’s,"
Bilazest,,,,,,,

Lucast,"Montelukast
sodium",,,,,,
Hertraz,Trastuzumab,Antineoplastic Agent,"150 mg and 440 mg multi-dose vial containing powder for concentrate for solution for intravenous infusion. Reconstituted Hertraz concentrate contains 21 mg/mL of trastuzumab, a humanised IgG1 monoclonal antibody expressed in Chinese hamster ovary Cells.",Hertraz (Trastuzumab) is a monoclonal antibody used to treat breast cancer,"Metastatic Breast Cancer:
Hertraz is indicated for the treatment of adult patients with HER2 positive metastatic cancer (MBC).
Early Breast Cancer:
Hertraz is indicated for the treatment of adult patients with HER2 positive early breast cancer (EBC).
Metastatic Gastric Cancer:
Hertraz in combination with capecitabine or 5-fluorouracil and cisplatin is indicated for the treatment of adult patients with HER2 positive metastatic adenocarcinoma of stomach or gastroesophageal junction who have not received prior anti-cancer treatment for their metastatic disease.","Three – Weekly Schedule:
The recommended initial loading dose is 8 mg/kg body weight. The recommended maintenance dose at threei ntervals is 6 mg/kg body weight, beginning three weeks after the loading units. Weekly Schedule:
The recommended initial loading dose of trastuzumab is 4 mg/kg body weight. The recommended weekly maintenance dose of trastuzumab is 2 mg/kg body weight, beginning one week after the loading dose.",
