Abnil,Orlistat,Antiobesity,"Each Abnil capsule contains 120
Lipomax,"Iron Pyrophosphate, Folic Acid, Vitamin C, Vitamin B12, Vitamin B6, Manganese Sulfate, Zinc Oxide",Iron Combination Products,"Each Sachet contains:
  Iron as Iron Pyrophosphate…………..45 mg
Folic Acid………………….…………0.4 mg
Vitamin C ……………………………80 mg
Vitamin B12…….……………………0.0025 mg
Vitamin B 6……………….……….…2 mg
Manganese Sulfate……………………0.2 mg
Zinc Oxide………………………….…6 mg
 ","Lipomax (Liposomal iron) is an iron food supplement with vitamin C, folic acid, vitamin B6, B12, Manganese & Zinc.
  Lipomax containing iron pyrophosphate uses “liposomal” vehicle technology, i.e. it is incorporated into a phospholipid membrane, a sort of protective “shell”. Compared to other oral iron formulations, it allows better gastrointestinal absorption with a higher bioavailability of the mineral with lower incidence of side effects.","Lipomax is used to treat or prevent anemia (low blood hemoglobin levels) e.g. anemia during pregnancy. Taking Lipomax can help prevent or treat anemia during preconception period, lactation, heavy menstrual bleeding, fatigue and in people with kidney problems.",One Lipomax sachet to be taken daily or as directed by the physician. The sachet is mouth dispersible and can be taken without water as it quickly dissolves in mouth.,Lipomax sachet is available in pack of 15’s.
Rubiject Injection,Iron sucrose,Iron Plain,"Each 5 ml of Rubiject ampoule
contains:
Iron sucrose equivalent to elemental iron … 100 mg","Rubiject (iron sucrose
injection) is an aqueous complex of polynuclear iron (III)-hydroxide in
sucrose for intravenous use.","Rubiject is recommended in:
Conditions in which there
is clinical requirement for rapid iron supply
Active inflammatory bowel
disease where oral iron preparations are ineffective
Iron deficiency due to
other reasons like final stages of pregnancy, non-responsiveness or
non-compliance to oral iron therapy, malabsorption, before and after
surgery etc.
Rubiject is also indicated in
the treatment of iron deficiency anaemia in chronic kidney disease patients
who are:
Non-dialysis dependent
patients receiving or not receiving an erythropoietin
Peritoneal dialysis
dependent / hemodialysis dependent patients who are receiving an
erythropoietin","Adults:
Rubiject injection 5-10 ml (100-200 mg iron) 1-3 times / week depending on
the haemoglobin level.
Rubiject injection should be administered intravenously by slow injection
or infusion.
Children:
Under study conditions, there is limited data available. If there is
clinical requirement, Rubiject is recommended not to exceed 0.15 ml (3 mg
iron)/kg body weight 1-3 times/week depending on the haemoglobin level
also.
Recommended Adult Dosage(Chronic kidney disease patients):
Hemodialysis Dependent:
Undiluted Rubiject can be administered as 100 mg slow IV injection in 2-5
minutes or as an infusion of 100 mg, diluted in a maximum of 100 ml of 0.9%
NaCl in atleast 15 minutes per consecutive hemodialysis session for a total
dose of 1000 mg.
Non-Dialysis Dependent:
Rubiject is administered as a total dose of 1000 mg in 14 days as 200 mg
slow IV injection undiluted in 2-5 minutes on 5 different occasions within
14 days.
Peritoneal Dialysis Dependent:
Rubiject administered as a total dose of 1000 mg in 3 divided doses, given by slow IV infusion, within 28 days: 2 infusions of 300 mg in 1½ hours 14 days apart followed by one 400 mg infusion in 2½ hours 14 days later. The Rubiject dose should be diluted in a maximum of 250 ml of 0.9% NaCl. .","Inj 5′s
 "
Rozet EZ,"Rosuvastatin, Ezetimibe","Lipid Modifying Agents, Combinations","Rozet EZ Tab 5 mg / 10 mg: Each tablet contains 5 mg Rosuvastatin and 10 mg Ezetimibe.
Rozet EZ Tab 10 mg / 10 mg: Each tablet contains 10 mg Rosuvastatin and 10 mg Ezetimibe.
Rozet EZ Tab 20 mg / 10 mg: Each tablet contains 20 mg Rosuvastatin and 10 mg Ezetimibe.",Rozet EZ tablets contain rosuvastatin calcium and ezetimibe. Rosuvastatin is a 3-hydroxy-3methylglutaryl coenzyme A (HMG CoA)-reductase inhibitor. Ezetimibe is a dietary cholesterol absorption inhibitor.,"As an adjunct to diet in patients with primary non-familial hyperlipidemia to reduce low-density lipoprotein cholesterol (LDL-C).
Alone or as an adjunct to other LDL-C-lowering therapies in patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C.","The dosage range is 5 mg/10 mg to 40 mg/10 mg once daily.
The recommended dose of Rozet EZ depends on a patient’s indication for usage, LDL-C, and individual risk for cardiovascular events.
The starting dosage for patients switching to Rozet EZ from co-administration of a statin and ezetimibe is based on an equivalent dose of rosuvastatin and 10 mg of ezetimibe.
Assess LDL-C when clinically appropriate, as early as 2 weeks after initiating Rozet EZ, and adjust the dosage if necessary.","Rozet EZ Tab 5 mg /10 mg is available in a pack of 10’s
Rozet EZ Tab 10 mg /10 mg is available in a pack of 10’s
Rozet EZ Tab 20 mg /10 mg is available in a pack of 10’s
   "
PeriDots,"Peppermint oil, Spearmint oil",Menthae Piperitae Aetheroleum,"Each PeriDots soft gelatin capsule contains:
Peppermint oil .……………. 0.174 ml
Spearmint oil ……………. 0.034 ml","Peppermint oil is the essential oil taken from the flowering parts and leaves of the peppermint plant. Peppermint is used to treat a variety of digestive problems such as heartburn and acidity. Also, it has antispasmodic activity. It provides quick relief from acidity, bloating, etc. Effective solution for indigestion and pain.","Indigestion
Heartburn
Acidity
Excessive gas
Abdominal spasm and colic pain","To be taken after a meal with a glass of water.
1 capsule: 2-3 times daily
Not recommended for children below 12 years of age","PeriDots Cap is available in packs of 30’s.
   "
Analar,Tizanidine,"Muscle Relaxants, Central","Each tablet contains 2 mg
tizanidine base.",Analar is a centrally acting α2-adrenergic agonist.,"Painful muscle spasms associated with static and functional disorders of the spine (cervical and lumber syndromes) 
Painful muscle spasms following surgery e.g. for herniated intervertebral disc or osteoarthritis of the hip 
Spasticity due to neurological disorders e.g. degenerative spinal cord diseases, chronic myelopathy, multiple sclerosis, cerebral palsy and cerebrovascular accidents.",N/A,Analar 2 mg tablet is availble in pack of 10’s
Magnus MR,Morphine Sulphate,Narcotic analgesic,"Magnus MR 10 mg capsule,
containing morphine sulphate 10 mg Magnus MR 30 mg capsule, containing
morphine sulphate 30 mg","Morphine applies an agonist
effect at saturable opioid receptors in the CNS and other tissues &
acts as opioid analgesic.","Severe chronic pain or pain
resistant to other analgesics, in particular pain associated with cancer.","Adults:

Recommended dosage is one capsule twice daily, at 12-hour intervals.
Elderly:

As with all narcotics a reduction in dosage may be advisable in the
elderly, as appropriate.","10 mg tab 30’s
30 mg tab 30’s
 "
Calfina CR,,,,,,,
Hepbest,Tenofovir Alafenamide,Nucleoside Reverse Transcriptase Inhibitors,Each Hepbest tablet contains 25 mg of Tenofovir Alafenamide,Hepbest is a nucleotide reverse transcriptase inhibitor for the treatment of Chronic Hepatitis B Virus (HBV) infection in adults with compensated liver disease.,Hepbest Tab is indicated for the treatment of Chronic Hepatitis B Virus (HBV) infection in adults with compensated liver disease.,"Recommended Dosage In Adults:
The recommended dosage of HEPBEST is 25 mg (one tablet) taken orally once daily with food.",Hepbest Tab 25 mg is available in bottle of 30’s.
Rigix Eye Drop,Cetirizine,Ophthalmologicals Decongestants & Antiallergics,Rigix Eye Drop (Cetirizine Ophthalmic Solution) contains the active ingredient Cetirizine 0.24%.,Rigix Eye Drop (Cetirizine Ophthalmic Solution) is a histamine-1 receptor antagonist indicated for the treatment of ocular itching associated with allergic conjunctivitis.,"Rigix Eye Drops are used to treat ocular itching associated with allergic conjunctivitis, relieving unpleasant symptoms and discomfort, such as itchy, red, and watery eyes.",The recommended dose of Rigix Eye Drop is to instill one drop in each affected eye twice daily.,Rigix Eye Drop is available in packs of 1’s
Novafol,L-Methylfolate,,,,,,
Vita-NEM Plus,"Natural Eggshell Membrane, Cholecalciferol (Vit D3), Menaquinone-7 (Vit K2), Zinc.",Other Musculoskeletal Products.,"Each Vita-NEM Plus capsule contains:
• Natural Eggshell Membrane  300 mg
• Cholecalciferol                          5 mcg
• Menaquinone-7                        15 mcg
• Zinc                                             5 mg",,,,
Colidrop,"Foeniculum Vulgare, Matricaria Chamomilla, Mentha Piperita",Other Stomach Disorder Products,"Each 1 ml of Colidrop contains:
Foeniculum Vulgare: 20 mg
Matricaria Chamomila: 20 mg
Mentha Piperita: 20 mg","Colidrop is a herbal formula containing the extracts of Foeniculum Vulgare, Matricaria Chamomilla and Mentha Piperita","Colidrop is indicated for the symptomatic relief of abdominal colic, intestinal cramps, bloating, gas & discomfort.","Recommended Dosage for children:
1 – 6 months: (0.5 ml) 10 drops – Twice daily
6 – 12 months: (1 ml) 20 drops – Twice daily
1 – 2 years: (2 ml) 40 drops – Twice daily",
AG-Vono,Vonoprazan,Proton Pump Inhibitor,Each AG-Vono tablet contains 10 mg or 20 mg of Vonoprazan.,AG-Vono (Vonoprazan) is a first-in-class potassium-competitive acid blocker medication.,"AG-Vono is indicated for:
Treatment of gastric ulcer
Treatment of duodenal ulcer
Treatment of reflux esophagitis
Maintenance treatment of reflux esophagitis in patients with repeat recurrence and relapse of the condition
Prevention of recurrence of gastric ulcer or duodenal ulcer during NSAIDs administration
Adjunctive effect on eradication of Helicobacter pylori","Adults
Gastric ulcer
• The usual dose is AG-Vono Tab 20 mg once daily. Administration – Limited to 8 weeks.Duodenal ulcer
• The usual dose is AG-Vono Tab 20 mg once daily. Administration – Limited to 6 weeks.
Reflux esophagitis (erosive esophagitis)
• The usual dose is AG-Vono Tab 20 mg once daily. Administration – Limited to 4 – 8 weeks.
• In addition, for the maintenance of healing of reflux esophagitis in patients with repeat recurrence and relapse of the condition, a dose of AG-Vono Tab 10 mg is administered once daily; however, when the efficacy is inadequate, a dose of AG-Vono Tab 20 mg may be administered once daily. The duration of administration in the long-term efficacy clinical Study is up to 52 weeks.
Prevention of recurrence of gastric ulcer or duodenal ulcer during NSAIDs administration
• The usual dose is AG-Vono Tab 10 mg once daily.
Adjunct to Helicobacter pylori eradication
• Usually, the following 3 drugs are orally administered at the same time twice daily for 7 days: AG-Vono Tab 20 mg, 750 mg amoxicillin, and 200 mg clarithromycin. The dose of clarithromycin may be appropriately increased as required, however, the upper limit is 400 mg twice daily.
• If the treatment with 3 drugs consisting of a proton pump inhibitor, amoxicillin, and clarithromycin fails, alternative treatment with the following 3 drugs is recommended; AG-Vono Tab 20 mg, 750 mg amoxicillin, and 250 mg metronidazole, orally administered at the same time twice daily for 7 days. The doses of antibiotic should follow the respective label recommendations for H. pylori eradication.","AG-Vono Tab 10 mg & Tab 20 mg are available in blister pack of 14’s
 "
Xedexo,"Olanzapine, Fluoxetine",Psycholeptic Antidepressant,"Xedexo Cap 3 mg/ 25 mg: Each capsule contains 3 mg Olanzapine with 25 mg Fluoxetine.
Xedexo Cap 6 mg/ 25 mg: Each capsule contains 6 mg Olanzapine with 25 mg Fluoxetine.",Xedexo contains Olanzapine and Fluoxetine an atypical antipsychotic and a selective serotonin reuptake inhibitor.,"• Acute depressive episodes in Bipolar I Disorder
• Treatment resistant depression (Major Depressive Disorder in patient who do not respond to 2 separate trials of different antidepressants of adequate dose and duration in the current episode)","Depressive Episodes Associated with Bipolar I Disorder:
Adults: One capsule daily in the evening, generally beginning with the 6 mg/25 mg capsule.
Children and adolescents (10 to 17 years of age):  One capsule daily in the evening, generally beginning with the 3 mg/25 mg capsule.
   Treatment Resistant Depression:
Administer one capsule daily in the evening, generally beginning with the 6 mg/25 mg capsule. Adjust dosage, if indicated, according to efficacy and tolerability.","Xedexo Cap 3 mg/25 mg & 6 mg/25 mg are available in pack of 14’s
                       "
TruGlif Met,"Empagliflozin, Metformin HCl",SGLT2 Inhibitors & Biguanide Combs,"TruGlif Met Tab 12.5 mg /500 mg: Each tablet contains 12.5 mg Empagliflozin and 500 mg Metformin HCl.
TruGlif Met Tab 12.5 mg /1000 mg: Each tablet contains 12.5 mg Empagliflozin and 1000 mg Metformin HCl.",TruGlif Met (Empagliflozin and metformin) is used with proper diet and exercise to treat high blood sugar levels caused by type 2 diabetes.,"TruGlif Met is indicated for the treatment of adults with type 2 diabetes mellitus as an adjunct to diet and exercise:
  • In patients insufficiently controlled on their maximally tolerated dose of metformin alone
• In combination with other medicinal products for the treatment of diabetes, in patients insufficiently controlled with metformin and these medicinal products
• In patients already being treated with the combination of empagliflozin and metformin as separate tablets.","The maximum recommended dose is 12.5 mg empagliflozin and 1000 mg metformin HCl twice daily. Take twice daily with meals, with gradual dose escalation to reduce the gastrointestinal side effects due to metformin.
  Adults with normal renal function (GFR ≥90 ml/min)
The recommended dose is one tablet twice daily. The dosage should be individualized on the basis of the patient’s current regimen, effectiveness, and tolerability using the recommended daily dose of 10 mg or 25 mg of empagliflozin, while not exceeding the maximum recommended daily dose of metformin.
  For patients switching from separate tablets of empagliflozin and metformin
Patients switching from separate tablets of empagliflozin and metformin should receive the same daily dose of empagliflozin and metformin already being taken or the nearest therapeutically appropriate dose of metformin.
  Renal impairment
Not recommended in patients with an eGFR less than 45 mL/min/1.73 m2, due to the metformin component","TruGlif Met Tablets 12.5 mg / 500 mg available in pack of 14’s.
TruGlif Met Tablets 12.5 mg /1000 mg available in pack of 14’s.
                           "
TruGlif,Empagliflozin,SGLT2 Inhibitors Antidiabetic Plain,Each TruGlif tablet contains 10 mg or 25 mg of Empagliflozin,"TruGlif tablets contain empagliflozin, an orally active inhibitor of the Sodium-Glucose Co-Transporter 2 (SGLT2).","TruGlif is indicated:
  • As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
• To reduce the risk of cardiovascular death in adult patients with type 2 diabetes mellitus and established cardiovascular disease.
  Limitation of Use:
Not for the treatment of type 1 diabetes mellitus and/or diabetic ketoacidosis.","The recommended dose of TruGlif is 10 mg once daily in the morning, taken with or without food. In individuals tolerating TruGlif, the dose may be increased up to 25 mg or as directed by the physician.","TruGlif Tablets 10 mg & 25 mg are available in pack of 14’s
                       "
Glyzia,Sitagliptin,,,,,"The recommended dose of Glyzia is 100 mg once daily. Glyzia can be taken with or without food.
Presentation:
Glyzia Tab 50 mg and 100 mg is available in pack of 14’s.",
Esi-Dep,Escitalopram,SSRI Antidepressants,Esi-dep tablet contains escitalopram oxalate equivalent to 10 mg or 20 mg escitalopram base.,Esi-dep is an orally administered selective serotonin reuptake inhibitor (SSRI),"A major depressive disorder
Esi-dep is indicated for the acute and maintenance treatment of major depressive disorder in adults and in adolescents 12 to 17 years of age.
Generalized anxiety disorder:
Esi-dep is indicated for the acute treatment of Generalized Anxiety Disorder (GAD) in adults.","Esi-dep should be administered once daily, in the morning or evening, with or without food.
Major Depressive Disorder:
Initial Treatment:
Adolescents & Adult: The recommended dose of Esi-dep is 10 mg once daily. 
Maintenance Treatment:
It is generally agreed that acute episodes of major depressive disorder require several months or longer of sustained pharmacological therapy beyond response to the acute episode. Systematic evaluation of continuing Escitalopram 10 or 20 mg/day in adults patients with major depressive disorder who responded while taking Escitalopram during an 8-week, acute-treatment phase demonstrated a benefit of such maintenance treatment. 
Generalized Anxiety Disorder:
Initial Treatment:
Adults: The recommended starting dose of Esi-dep is 10 mg once daily. If the dose is increased to 20 mg, this should occur after a minimum of one week.
Maintenance Treatment:
Generalized anxiety disorder is recognized as a chronic condition. The physician who elects to use Esi-dep for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient.",
Gluconorm,Glimepiride,,"Each
Gluconorm tablet contains glimepiride 1 mg, 2 mg, 3 mg or 4 mg as active
ingredient.","Gluconorm
(glimepiride) is an oral blood-glucose-lowering drug of the sulfonylurea
class.","Gluconorm
is indicated:
– As
an adjunct to diet and exercise to lower the blood glucose in patients with
noninsulin-dependent (Type 2) diabetes mellitus (NIDDM) whose hyperglycemia
cannot be controlled by diet and exercise alone. 
– Concomitantly with metformin when diet, exercise and Gluconorm or metformin alone do not result in adequate glycemic control.
– In combination with insulin to lower blood glucose in patients whose hyperglycemia cannot be controlled by diet and exercise in conjunction with an oral hypoglycemic agent. Combined use of glimepiride and insulin may increase the potential for hypoglycemia.","Usual
Starting Dose:
The usual starting dose of Gluconorm as initial therapy is 1-2 mg once daily, administered with breakfast or the first main meal.
The maximum starting dose of Gluconorm should be no more than 2 mg. 
Usual Maintenance Dose:
The usual maintenance dose is 1 to 4 mg once daily.
The maximum recommended dose is 8 mg once daily. 
Gluconorm-Metformin Combination Therapy:
If patients do not respond adequately to the maximal dose of Gluconorm monotherapy, addition of metformin may be considered.
With concomitant Gluconorm and metformin therapy, the desired control of blood glucose may be obtained by adjusting the dose of each drug. 
Gluconorm-Insulin Combination Therapy:
Combination therapy with Gluconorm and insulin may also be used in secondary failure patients. The recommended Gluconorm dose is 8 mg once daily administered with the first main meal.
After starting with low-dose insulin, upward adjustments of insulin can be done approximately weekly as guided by frequent measurements of fasting blood glucose.","Gluconorm 1 mg tablet is available in pack of 20’s.
Gluconorm 2 mg tablet is available in pack of 20’s.
Gluconorm 3 mg tablet is available in pack of 20’s.
Gluconorm 4 mg tablet is available in pack of 20’s."
Cap-Itra,Itraconazole,Systemic Antifungal Agents,Each Cap-Itra capsule contains Itraconazole 100 mg.,"Cap-Itra capsules belong to a group of medicines called antimycotics for systemic use, also known as “antifungals”, which are used to treat infections caused by fungi including yeasts.","Cap-Itra capsules are used to treat fungal infections of vagina, skin, lungs, mouth, nails & internal organs.","The usual doses of Cap-Itra are given below.
Vaginal Infection (Thrush): 2 capsules twice daily for 1 day
Pityriasis Versicolor: 2 capsules once daily for 7 days
Skin Infection of the Groin: 1-2 capsules once daily for 7 days or 15 days
Skin Infection of Arms & Legs: 1-2 capsules once daily for 7 days or 15 days
Athletes Foot: 1 capsule once daily for 30 days
Skin Infection of the hand: 1 capsule once daily for 30 days
Infection of the Mouth: 1 capsule once daily for 15 days
Infection of the Nails: 2 capsules once daily for 3 months
Internal Infections: 200 mg once or twice daily.",Cap-Itra Cap is available in packs of 4’s
Doxium,Calcium Dobesilate,Systemic Vasoprotectives,"Each Doxium capsule contains
calcium dobesilate monohydrate 500 mg.","Calcium dobesilate acts on the
capillary walls by regulating its impaired physiological
functions-increased permeability and decreased resistance. It increases
erythrocyte flexibility, inhibits platelet hyperaggregation and in diabetic
retinopathy, it reduces plasma and blood hyperviscosity, thus improving
blood rheological properties and tissue irrigation. These effects allow to
correct capillary dysfunctions either of functional origin or caused by
constitutional or acquired metabolic disorders. Calcium dobesilate contributes
to reduce edema.","Microangiopathies, in particular Diabetic Retinopathy.
Clinical signs of Chronic Venous Insufficiency in the lower limbs (pain, cramps, paresthesia, oedema, stasis dermatosis).
As adjuvant in Superficial Thrombophlebitis.
Haemorrhoidal Syndrome","Generally 500 to 1000 mg – 1
capsule once or twice a day to be taken with the main meals. Treatment
duration, which is generally between a few weeks and several months,
depends on the disease and its evolution. Dosage should be adapted
individually according to the severity of the case.",500 mg caps 30’s
Toni-5,"Phosphoric acid, Lysine , Monohydrate, Dimethyl amino ethanol, Sorbitol, Calcium , gluconoglucoheptonate",TONICS,"Each 5 ml contains
Lysine monohydrochloride (PFM Specs.) ………………… 200 mg
Calcium gluconoglucoheptonate (Ph. Eur.)………………..150 mg
Dimethyl-amino-ethanol (pyro) glutamate (PFM Specs.)…. 50 mg
Phosphoric acid (Ph. Eur.)………………………………… 0.025 ml
Sorbitol……………………………………………………. 750 mg","Toni-5 syrup combines various factors to stimulate growth in young children.Dimethylaminoethanol (pyro) glutamate, which acts on interneuronal transmissions.Lysine. calcium and phosphorus, which promote growth of muscles & bone tissues in length & weight","Fatigue of any nature (growth disorders, anorexia, malnutrition)
Asthenia
Decreased Alertness
Convalescence
General Weakness",,"120 ml syrup
 "
Posterisan,Bacterial Culture Suspension,Topical Antihaemorrhoidal,Bacterial cultural suspension,"1 gm of Posterisan forte
ointment contains in 166.7 mg aqueous suspension 330 million dead E.coli
(corpuscular components and metabolites) and 3.3 mg liquefied phenol
(corresponding to 3.0 mg pure phenol) in an inert ointment base (water/oil
emulsion)","For the treatment of
haemorrhoids, eczema and itching in the region of the anus (anal eczema and
pruritus anal), anal fissures and cracks (rhagades).","Ointment is applied several
times daily in a thin layer on the parts of skin or of the mucosa that must
be treated",10 gm ointment
Carodek,,,,,,,
Urgesin,,Urinary Incontinence Prd,"Each Urgesin tab contains 5 mg
or 10 mg of solifenacin succinate.","Urgesin (Solifenacin) is used to
treat contraction of overactive bladder with associated problems such as
increased urination frequency and urge incontinence.","Urgesin is a muscarinic
antagonist indicated for the treatment of overactive bladder with symptoms
of urge urinary incontinence, urgency and urinary frequency.","The recommended dose of Urgesin
is 5 mg once daily. If the 5 mg dose is well tolerated, the dose may be
increased to 10 mg once daily.","Urgesin 5 mg tab is available in pack of 10’s.
Urgesin 10 mg Tab is available in pack of 10’s."
Lipomax,"Iron Pyrophosphate, Folic Acid, Vitamin C, Vitamin B12, Vitamin B6, Manganese Sulfate, Zinc Oxide",Iron Combination Products,"Each Sachet contains:
  Iron as Iron Pyrophosphate…………..45 mg
Folic Acid………………….…………0.4 mg
Vitamin C ……………………………80 mg
Vitamin B12…….……………………0.0025 mg
Vitamin B 6……………….……….…2 mg
Manganese Sulfate……………………0.2 mg
Zinc Oxide………………………….…6 mg
 ","Lipomax (Liposomal iron) is an iron food supplement with vitamin C, folic acid, vitamin B6, B12, Manganese & Zinc.
  Lipomax containing iron pyrophosphate uses “liposomal” vehicle technology, i.e. it is incorporated into a phospholipid membrane, a sort of protective “shell”. Compared to other oral iron formulations, it allows better gastrointestinal absorption with a higher bioavailability of the mineral with lower incidence of side effects.","Lipomax is used to treat or prevent anemia (low blood hemoglobin levels) e.g. anemia during pregnancy. Taking Lipomax can help prevent or treat anemia during preconception period, lactation, heavy menstrual bleeding, fatigue and in people with kidney problems.",One Lipomax sachet to be taken daily or as directed by the physician. The sachet is mouth dispersible and can be taken without water as it quickly dissolves in mouth.,Lipomax sachet is available in pack of 15’s.
Mecovate,Mecobalamin,Vitamin B12 Plain,"Each Mecovate tablet contains 500 µg of mecobalamin.
Each Mecovate ampoule (1 ml) contains 500 µg of mecobalamin.","Mecovate contains mecobalamin, a vitamin B12 – coenzyme that occurs in the blood and the cerebrospinal fluid. It is taken up by
nerve tissues more actively and extensively than other homologues of vitamin B12.","Peripheral neuropathies
Injection: Megaloblastic anemia due to vitamin B12 deficiency","Mecovate Tablet:
Adults:The usual daily dose is 3 tablets, equivalent to a total of 1500 µg of mecobalamin, administered orally in 3 divided doses.
Mecovate Injection:
Peripheral Neuropathies: The usual adult dosage is 1 amp, equivalent to 500 µg of mecobalamin administered IM
or IV 3 times a week. The dosage should be adjusted according to age of patient and severity of symptoms.
Megaloblastic Anemia:The usual adult dosage is 1 amp, equivalent to 500 µg of mecobalamin administered IM
or IV 3 times a week. After approximately 2 months of medication, the dose should be reduced to a single
administration of 1 amp at 1- to 3-month intervals for maintenance therapy.","Mecovate Tab 500 µg is available in pack of 100’s.
Mecovate amp 500 µg is available in pack of 10’s."
Imuzer,"Vitamin C, Zinc",Vitamin C Combinations,"Each Imuzer sachet contains:
Vitamin C … 300 mg
Zinc ……….. 5 mg
  Each Tablet contains:
Vitamin C…… 500 mg
Zinc ………….10 mg
  Each Chewable Tablet contains:
Vitamin C…….300 mg
Zinc ………….5 mg","Imuzer tablets and sachet contains Vitamin C & Zinc. Vitamin C, also known as L-ascorbic acid, is a water-soluble vitamin that is naturally present in some foods, added to others, and available as a dietary supplement. Humans are unable to synthesize vitamin C, so it is an essential dietary component.
  Zinc is a mineral that is commonly added to supplements and other healthcare products that are meant to boost immune system. Supplementation with Zinc and Vitamin C is vital for immune health and may help protect against respiratory tract infections and reduce the duration of these infections","Immunity booster in cold, flu and other viral infections
To reduce the risk of preterm birth
Mood stabilization particularly in women","1-2 Sachets daily or as prescribed by the Physician
1-2 Tabs/sachets daily or as prescribed by the Physician","Imuzer Sachet is available in a pack of 30’s.
Imuzer Tab is available in a pack of 60’s.
Imuzer Chewable Tab is available in a pack of 60’s.
   "
All-D Drops,Cholecalciferol (Vitamin D3),Vitamin D3,Each All-D drop contains Cholecalciferol (vitamin D3) – 400 IU.,,"All-D (Cholecalciferol) is used to treat or prevent many conditions caused by lack of vitamin D, especially conditions of the skin or bones. Vitamin D is used to treat and prevent bone disorders (such as rickets & Osteomalacia), prevent bone loss (osteoporosis). Vitamin D drops (or other supplements) are given to breast-fed infants because breast milk usually has low levels of vitamin D.","Infants & Children below 4 years: 1 drop daily.
Children above 4 years: 2 drops daily.
Adults: 2-3 drops daily or as directed by the physician.",All-D drops – 10 ml
Phyllocontin,Aminophylline Hydrate,Xanthines – Systemic,"Each Phyllocontin continus
tablet contains aminophylline hydrate 225 mg.","Phyllocontin continus tablet
contains aminophylline that is the salt of theophylline most commonly used
for therapeutic purposes. It acts as a bronchodilator (dilates the bronchi
i.e. air passage). It improves breathing by opening air passages in the
lungs.","Treatment and prophylaxis of bronchospasm associated with asthma. emphysema & chronic bronchitis
Prevention of
exercise-induced bronchoconstriction","1-2 tablets 12 hourly ensure 24
hours protection",225 mg tabs 50’s